,0,1,2
724,sh.600678,1,四川金顶
725,sh.600679,1,上海凤凰
726,sh.600681,1,百川能源
727,sh.600682,1,南京新百
728,sh.600683,1,京投发展
729,sh.600684,1,珠江股份
730,sh.600685,1,中船防务
731,sh.600686,1,金龙汽车
732,sh.600688,1,上海石化
733,sh.600689,1,上海三毛
734,sh.600690,1,海尔智家
735,sh.600691,1,阳煤化工
736,sh.600692,1,亚通股份
737,sh.600693,1,东百集团
738,sh.600694,1,大商股份
739,sh.600696,1,岩石股份
740,sh.600697,1,欧亚集团
741,sh.600698,1,湖南天雁
742,sh.600699,1,均胜电子
743,sh.600702,1,舍得酒业
744,sh.600703,1,三安光电
745,sh.600704,1,物产中大
746,sh.600705,1,中航产融
747,sh.600706,1,曲江文旅
748,sh.600707,1,彩虹股份
749,sh.600708,1,光明地产
750,sh.600710,1,苏美达
751,sh.600711,1,ST盛屯
752,sh.600712,1,南宁百货
753,sh.600713,1,南京医药
754,sh.600714,1,金瑞矿业
755,sh.600715,1,*ST文投
756,sh.600716,1,凤凰股份
757,sh.600717,1,天津港
758,sh.600718,0,东软集团
759,sh.600719,1,大连热电
760,sh.600720,1,中交设计
761,sh.600721,1,百花医药
762,sh.600722,1,金牛化工
763,sh.600724,1,宁波富达
764,sh.600725,1,云维股份
765,sh.600726,1,华电能源
766,sh.600727,1,鲁北化工
767,sh.600728,1,佳都科技
768,sh.600729,1,重庆百货
769,sh.600730,1,中国高科
770,sh.600731,1,湖南海利
771,sh.600732,1,爱旭股份
772,sh.600733,1,北汽蓝谷
773,sh.600734,1,实达集团
774,sh.600735,1,新华锦
775,sh.600736,1,苏州高新
776,sh.600737,1,中粮糖业
777,sh.600738,1,丽尚国潮
778,sh.600739,1,辽宁成大
779,sh.600740,1,山西焦化
780,sh.600741,1,华域汽车
781,sh.600742,1,一汽富维
782,sh.600743,1,华远地产
783,sh.600744,1,华银电力
784,sh.600745,1,闻泰科技
785,sh.600746,1,江苏索普
786,sh.600748,1,上实发展
787,sh.600749,1,西藏旅游
788,sh.600750,1,江中药业
789,sh.600751,1,海航科技
790,sh.600753,1,庚星股份
791,sh.600754,1,锦江酒店
792,sh.600755,1,厦门国贸
793,sh.600756,1,浪潮软件
794,sh.600757,1,长江传媒
795,sh.600758,1,辽宁能源
796,sh.600759,1,洲际油气
797,sh.600760,1,中航沈飞
798,sh.600761,1,安徽合力
799,sh.600763,1,通策医疗
800,sh.600764,1,中国海防
801,sh.600765,1,中航重机
802,sh.600768,1,宁波富邦
803,sh.600769,1,祥龙电业
804,sh.600770,1,综艺股份
805,sh.600771,1,广誉远
806,sh.600773,1,西藏城投
807,sh.600774,1,汉商集团
808,sh.600775,1,南京熊猫
809,sh.600776,1,东方通信
810,sh.600777,1,ST新潮
811,sh.600778,1,友好集团
812,sh.600779,1,水井坊
813,sh.600780,1,通宝能源
814,sh.600782,1,新钢股份
815,sh.600783,1,鲁信创投
816,sh.600784,1,鲁银投资
817,sh.600785,1,新华百货
818,sh.600787,1,中储股份
819,sh.600789,1,鲁抗医药
820,sh.600790,1,轻纺城
821,sh.600791,1,京能置业
822,sh.600792,1,云煤能源
823,sh.600793,1,宜宾纸业
824,sh.600794,1,保税科技
825,sh.600795,1,国电电力
826,sh.600796,1,钱江生化
827,sh.600797,1,浙大网新
828,sh.600798,1,宁波海运
829,sh.600800,1,渤海化学
830,sh.600801,1,华新水泥
831,sh.600802,1,福建水泥
832,sh.600803,1,新奥股份
833,sh.600804,1,*ST鹏博
834,sh.600805,1,悦达投资
835,sh.600807,1,济高发展
836,sh.600808,1,马钢股份
837,sh.600809,1,山西汾酒
838,sh.600810,1,神马股份
839,sh.600811,1,东方集团
840,sh.600812,1,华北制药
841,sh.600814,1,杭州解百
842,sh.600815,1,厦工股份
843,sh.600816,1,建元信托
844,sh.600817,1,宇通重工
845,sh.600818,1,中路股份
846,sh.600819,1,耀皮玻璃
847,sh.600820,1,隧道股份
848,sh.600821,1,金开新能
849,sh.600822,1,上海物贸
850,sh.600824,1,益民集团
851,sh.600825,1,新华传媒
852,sh.600826,1,兰生股份
853,sh.600827,1,百联股份
854,sh.600828,1,茂业商业
